;Column Labels;;;;;;;;;;;;
Row Labels;A;B;C;D;E;F;G;H;I;J;K;L;Grand Total
158;0;0;0;2;0;0;0;1;2;0;0;0;5
159;1;0;0;6;0;3;0;0;4;0;0;0;14
160;0;0;0;0;0;0;0;0;0;0;0;0;0
161;0;0;0;0;0;0;0;0;0;0;0;0;0
162;0;0;0;3;0;1;2;0;1;0;0;0;7
163;0;0;0;0;0;0;0;0;0;0;0;0;0
164;0;0;0;0;0;0;0;0;0;0;0;0;0
165;0;0;0;0;0;0;0;0;0;0;0;0;0
166;0;0;0;0;0;0;0;0;0;0;0;0;0
167;0;0;0;8;0;8;0;2;1;0;0;0;19
168;0;0;0;0;0;1;1;0;0;0;0;0;2
169;0;0;0;0;0;0;0;0;0;0;0;0;0
170;0;0;0;1;0;0;0;0;1;0;0;0;2
171;0;0;0;0;0;0;0;0;0;0;0;0;0
172;0;0;0;2;0;2;0;0;0;0;0;0;4
173;0;0;0;0;0;0;0;0;0;0;0;0;0
174;0;0;0;1;0;0;0;0;1;0;0;0;2
175;0;0;0;0;0;0;0;0;0;0;0;0;0
176;0;0;0;0;0;0;0;0;0;0;0;0;0
177;0;0;0;0;0;0;0;0;0;0;0;0;0
178;0;0;0;2;0;1;1;0;0;0;0;0;4
179;0;0;0;0;0;0;0;0;0;0;0;0;0
180;0;0;0;3;0;0;1;0;2;0;0;0;6
181;0;0;0;0;0;0;0;0;0;0;0;0;0
182;0;0;0;1;0;1;1;1;0;0;0;0;4
183;0;0;0;11;0;0;0;0;11;0;0;0;22
184;0;0;0;1;0;0;0;0;1;0;0;0;2
185;0;0;0;0;0;0;0;0;0;0;0;0;0
186;0;0;0;0;0;0;0;0;0;0;0;0;0
187;0;0;0;2;0;1;1;0;0;0;0;0;4
188;0;0;0;0;0;0;1;0;0;0;0;0;1
189;0;0;0;0;0;0;0;0;0;0;0;0;0
190;0;0;0;1;0;0;0;0;1;0;0;0;2
191;0;0;0;0;0;0;0;0;0;0;0;0;0
192;0;0;0;0;0;0;0;0;0;0;0;0;0
193;0;0;0;1;0;0;0;0;1;0;0;0;2
194;0;0;0;0;0;0;0;0;0;0;0;0;0
195;0;0;0;0;0;0;0;0;0;0;0;0;0
196;0;0;0;0;0;0;0;0;0;0;0;0;0
197;0;0;0;5;0;0;0;0;5;0;0;0;10
198;0;0;0;0;0;0;0;0;0;0;0;0;0
199;0;0;0;0;0;0;0;0;0;0;0;0;0
200;0;0;0;2;0;1;0;0;1;0;0;0;4
201;0;0;0;1;0;0;2;0;1;0;0;0;4
